awardid,action_date,federal_action_obligation,deobligated_amount_usd,label,action_type_code,action_type_description,correction_delete_indicator_code,correction_delete_indicator_description,recipient_name,recipient_city_name,recipient_state_code,primary_place_of_performance_city_name,trump_era_flag
ASST_NON_B09SM010023_075,2022-06-06,-243062.98,243062.98,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_B09SM082607_075,2022-04-11,-291292.16,291292.16,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_B09SM083807_075,2023-07-20,-696778.98,696778.98,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,0
ASST_NON_B09SM083978_075,2025-06-26,-658270.47,658270.47,PARTIAL_RES_CUM_POS,C,REVISION,,,THE COMMONWEALTH OF MASSACHUSETTS,BOSTON,MA,,1
ASST_NON_B09SM086014_075,2024-05-06,-606048.65,606048.65,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,MASSACHUSETTS DEPARTMENT OF MENTAL HEALTH,BOSTON,MA,BOSTON,0
ASST_NON_B09SM087294_075,2025-03-28,-1052919.16,1052919.16,PARTIAL_RES_CUM_POS,C,REVISION,,,MASSACHUSETTS DEPARTMENT OF MENTAL HEALTH,BOSTON,MA,BOSTON,1
ASST_NON_B09SM087365_075,2025-02-18,-1186401.61,1186401.61,PARTIAL_RES_CUM_POS,C,REVISION,,,MASSACHUSETTS DEPARTMENT OF MENTAL HEALTH,BOSTON,MA,,1
ASST_NON_BH16IHS0080_075,2022-11-29,-106727.69,106727.69,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,MASHPEE WAMPANOAG TRIBE,MASHPEE,MA,,0
ASST_NON_BH25091416_418,2021-04-26,-14192.54,14192.54,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,CITY OF HOLYOKE,HOLYOKE,MA,,0
ASST_NON_BH26165918_418,2021-04-26,-2407.0,2407.0,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,POCUMTUCK VALLEY MEMORIAL ASSOCIATION,DEERFIELD,MA,,0
ASST_NON_BH26168218_418,2021-04-26,-1982.16,1982.16,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,,0
ASST_NON_BH26708119_418,2024-01-04,-14601.0,14601.0,ADMIN_OR_PREPAY_ADJ,D,ADJUSTMENT TO COMPLETED PROJECT,,,POCUMTUCK VALLEY MEMORIAL ASSOCIATION,DEERFIELD,MA,,0
ASST_NON_BH26709719_418,2022-08-05,-10611.16,10611.16,ADMIN_OR_PREPAY_ADJ,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,,0
ASST_NON_BH27238120_418,2025-02-26,-6221.47,6221.47,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,,1
ASST_NON_BH27238120_418,2025-02-26,-10481.71,10481.71,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,,1
ASST_NON_BP26636519_418,2025-02-28,-19152.57,19152.57,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"AMHERST COLLEGE, TRUSTEES OF",AMHERST,MA,,1
ASST_NON_C-14-TA-MA-0001_086,2021-10-04,-1648.94,1648.94,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,ABT GLOBAL LLC,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_C-14-TA-MA-0017_086,2021-10-04,-45293.68,45293.68,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",BOSTON,MA,BOSTON,0
ASST_NON_C-15-TA-MA-0001_086,2021-10-04,-197937.32,197937.32,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,ABT GLOBAL LLC,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_C-15-TA-MA-0017_086,2021-10-04,-19702.58,19702.58,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",BOSTON,MA,BOSTON,0
ASST_NON_C-16-TA-MA-0001_086,2022-10-04,-58135.36,58135.36,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,ABT GLOBAL LLC,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_C-16-TA-MA-0017_086,2022-03-07,-15106.21,15106.21,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",BOSTON,MA,BOSTON,0
ASST_NON_C-17-TA-MA-0001_086,2023-09-29,-16250.59,16250.59,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,ABT GLOBAL LLC,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_C-17-TA-MA-0017_086,2022-03-07,-7133.06,7133.06,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",BOSTON,MA,BOSTON,0
ASST_NON_C-18-TA-MA-0017_086,2024-10-01,-2447.65,2447.65,RESCISSION,C,REVISION,,,"TECHNICAL ASSISTANCE COLLABORATIVE, INC.",BOSTON,MA,BOSTON,0
ASST_NON_C-18-TA-MD-0001_086,2024-10-01,-5717.24,5717.24,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,ABT GLOBAL LLC,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_C1232615_075,2023-01-31,-44634.62,44634.62,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,REVERE,0
ASST_NON_C8E44076_075,2025-06-05,-594.62,594.62,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,"DOTHOUSE HEALTH, INC",DORCHESTER,MA,DORCHESTER,1
ASST_NON_C8E44083_075,2025-07-17,-9826.41,9826.41,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,"UPHAMS CORNER HEALTH COMMITTEE, INC.",DORCHESTER,MA,DORCHESTER,1
ASST_NON_CE146134_075,2023-09-26,-1950000.0,1950000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,GREATER NEW BEDFORD COMMUNITY HEALTH CENTER INC,NEW BEDFORD,MA,NEW BEDFORD,0
ASST_NON_CE146134_075,2023-11-29,-50000.0,50000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,GREATER NEW BEDFORD COMMUNITY HEALTH CENTER INC,NEW BEDFORD,MA,NEW BEDFORD,0
ASST_NON_CE146381_075,2023-06-14,-2000000.0,2000000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"GREATER LAWRENCE FAMILY HEALTH CENTER, INC",METHUEN,MA,LAWRENCE,0
ASST_NON_CE146386_075,2023-06-23,-487322.78,487322.78,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"MANET COMMUNITY HEALTH CENTER, INC",QUINCY,MA,NORTH QUINCY,0
ASST_NON_CE146389_075,2023-07-19,-1650.0,1650.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,NORTH SHORE COMMUNITY COLLEGE,DANVERS,MA,,0
ASST_NON_CE146389_075,2023-09-13,-466565.0,466565.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,NORTH SHORE COMMUNITY COLLEGE,DANVERS,MA,,0
ASST_NON_CE146389_075,2024-04-23,-431785.0,431785.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,NORTH SHORE COMMUNITY COLLEGE,DANVERS,MA,,0
ASST_NON_CE146462_075,2023-06-09,-250000.0,250000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,"OUTER CAPE HEALTH SERVICES, INC.",HARWICH PORT,MA,PROVINCETOWN,0
ASST_NON_CE146608_075,2023-06-15,-1000000.0,1000000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,DIMOCK COMMUNITY HEALTH CENTER,ROXBURY,MA,ROXBURY,0
ASST_NON_CE147022_075,2023-06-09,-4500000.0,4500000.0,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,NEIGHBORHEALTH CORPORATION,EAST BOSTON,MA,BOSTON,0
ASST_NON_CE152252_075,2024-05-30,-1000000.0,1000000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,CAMBRIDGE PUBLIC HEALTH COMMISSION,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_CLSS00000067432_012,2020-11-13,-413000.0,413000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,GLOBAL COMPANIES LLC,WALTHAM,MA,WALTHAM,0
ASST_NON_CLSS00000067432_012,2020-11-13,-215244.0,215244.0,PARTIAL_RES_CUM_POS,C,REVISION,,,GLOBAL COMPANIES LLC,WALTHAM,MA,WALTHAM,0
ASST_NON_CLSS00000068302_012,2021-04-21,-438750.0,438750.0,CANCELLATION,C,REVISION,,,"BW GAS & CONVENIENCE RETAIL, LLC",BEVERLY,MA,BEVERLY,0
ASST_NON_CLSS00000068823_012,2021-05-26,-10367.0,10367.0,CANCELLATION,C,REVISION,,,"SWEET MORNING FARM, LLC",BERNARDSTON,MA,,0
ASST_NON_CLSS00000070273_012,2021-07-29,-309.19,309.19,PARTIAL_RES_CUM_POS,C,REVISION,,,"THIRD SECTOR NEW ENGLAND, INC.",BOSTON,MA,,0
ASST_NON_CLSS00000070289_012,2021-07-29,-78.37,78.37,PARTIAL_RES_CUM_POS,C,REVISION,,,"THIRD SECTOR NEW ENGLAND, INC.",BOSTON,MA,,0
ASST_NON_CLSS00000070947_012,2021-09-10,-250000.0,250000.0,CANCELLATION,C,REVISION,,,"WELCH FOODS INC., A COOPERATIVE",CONCORD,MA,,0
ASST_NON_CLSS00000072522_012,2022-05-05,-364619.39,364619.39,PARTIAL_RES_CUM_POS,C,REVISION,,,"WORLD ENERGY, LLC",BOSTON,MA,,0
ASST_NON_CLSS00000074490_012,2022-08-18,-5264.51,5264.51,PARTIAL_RES_CUM_POS,C,REVISION,,,TOWN OF SHEFFIELD,SHEFFIELD,MA,SHEFFIELD,0
ASST_NON_CLSS00000078872_012,2023-08-14,-4742.69,4742.69,PARTIAL_RES_CUM_POS,C,REVISION,,,TOWN OF MONTAGUE,TURNERS FALLS,MA,TURNERS FALLS,0
ASST_NON_CLSS00000080493_012,2023-09-21,-2376.0,2376.0,PARTIAL_RES_CUM_POS,C,REVISION,,,"THE SACRED COW, LLC",OXFORD,MA,,0
ASST_NON_CLSS00000082014_012,2023-12-20,-3092.0,3092.0,PARTIAL_RES_CUM_POS,C,REVISION,,,VERDANT DELTA LLC,GREAT BARRINGTON,MA,,0
ASST_NON_CPAP000001056587_012,2021-08-31,-21824.99,21824.99,PARTIAL_RES_CUM_POS,C,REVISION,,,"NORTHEAST WASTE MANAGEMENT OFFICIAL'S ASSOCIATION, INC.",BOSTON,MA,,0
ASST_NON_CPAP000001056915_012,2021-08-18,-3250.0,3250.0,PARTIAL_RES_CUM_POS,C,REVISION,,,WARREN PUBLIC LIBRARY,WARREN,MA,,0
ASST_NON_CPIMP151089_075,2022-02-09,-142.25,142.25,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,MOUNT WACHUSETT COMMUNITY COLLEGE,GARDNER,MA,GARDNER,0
ASST_NON_CPIMP171150_075,2021-11-19,-97.21,97.21,CANCELLATION,C,REVISION,C,CORRECT AN EXISTING RECORD,BOSTON MEDICAL CENTER CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_CPIMP181174_075,2022-06-02,-317569.86,317569.86,RESCISSION,C,REVISION,,,BOSTON PUBLIC HEALTH COMMISSION,BOSTON,MA,BOSTON,0
ASST_NON_CPIMP211244_075,2025-03-20,-1127930.99,1127930.99,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,BOSTON PUBLIC HEALTH COMMISSION,BOSTON,MA,BOSTON,1
ASST_NON_CPNE735-2393-518-SN-22_036,2025-01-06,-1075290.0,1075290.0,CANCELLATION,C,REVISION,,,CLEAR PATH FOR VETERANS NEW ENGLAND INC,DEVENS,MA,,0
ASST_NON_CS355962175F25_1601,2022-04-04,-2906.39,2906.39,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,EXECUTIVE OFFICE OF LABOR & WO,WEST NEWTON,MA,,0
ASST_NON_CS368942275F25_1601,2023-02-24,-1325.84,1325.84,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,EXECUTIVE OFFICE OF LABOR & WO,BOSTON,MA,,0
ASST_NON_CT0121L1E051811_086,2020-12-07,-896.2,896.2,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_CT0121L1E051912_086,2022-11-30,-21136.37,21136.37,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_CT0121L1E052013_086,2023-01-31,-60641.93,60641.93,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_CT0121L1E052114_086,2025-06-04,-49862.45,49862.45,PARTIAL_RES_CUM_POS,C,REVISION,,,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,1
ASST_NON_CT0122L1E051811_086,2021-02-10,-30480.32,30480.32,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_CT0122L1E051912_086,2022-11-30,-56090.52,56090.52,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_CT0122L1E052013_086,2023-01-31,-59712.74,59712.74,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,"CENTER FOR HUMAN DEVELOPMENT, INCORPORATED",SPRINGFIELD,MA,SPRINGFIELD,0
ASST_NON_D15AP00099_014,2020-10-13,-197.95,197.95,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,,,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_D16AP00111_014,2021-03-01,-558.36,558.36,RESCISSION,C,REVISION,,,NORTHEASTERN UNIVERSITY,BOSTON,MA,,0
ASST_NON_D1832124_075,2024-04-02,-44383.0,44383.0,PARTIAL_RES_CUM_POS,C,REVISION,,,MOUNT WACHUSETT COMMUNITY COLLEGE,GARDNER,MA,,0
ASST_NON_D1832124_075,2024-04-05,-639999.22,639999.22,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,,,MOUNT WACHUSETT COMMUNITY COLLEGE,GARDNER,MA,,0
ASST_NON_D18AC00006_014,2022-01-24,-254952.0,254952.0,RESCISSION,C,REVISION,C,CORRECT AN EXISTING RECORD,"THE BROAD INSTITUTE, INC",CAMBRIDGE,MA,,0
ASST_NON_D18AC00019_014,2023-07-10,-17097.07,17097.07,PARTIAL_RES_CUM_POS,C,REVISION,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,,0
ASST_NON_D18AC00037_014,2023-07-11,-6963.6,6963.6,PARTIAL_RES_CUM_POS,C,REVISION,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,,0
ASST_NON_D18AP00039_014,2023-10-16,-15080.3,15080.3,RESCISSION,C,REVISION,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_D18AP00050_014,2022-05-02,-192.15,192.15,RESCISSION,C,REVISION,,,NORTHEASTERN UNIVERSITY,BOSTON,MA,,0
ASST_NON_D18AP00065_014,2023-11-16,-3816.7,3816.7,RESCISSION,C,REVISION,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,,0
ASST_NON_D1930840_075,2023-01-23,-37151.62,37151.62,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,CAPE COD COMMUNITY COLLEGE,WEST BARNSTABLE,MA,,0
ASST_NON_D1930851_075,2022-03-29,-142450.19,142450.19,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,QUINSIGAMOND COMMUNITY COLLEGE,WORCESTER,MA,,0
ASST_NON_D1930860_075,2024-05-24,-36429.57,36429.57,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,UNIVERSITY OF MASSACHUSETTS DARTMOUTH,NORTH DARTMOUTH,MA,,0
ASST_NON_D4033336_075,2025-01-28,-0.01,0.01,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,CAMBRIDGE PUBLIC HEALTH COMMISSION,CAMBRIDGE,MA,CAMBRIDGE,1
ASST_NON_D43TW005572_075,2021-04-30,-50000.0,50000.0,PARTIAL_RES_CUM_POS,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_D43TW005572_075,2021-08-07,-8348.79,8348.79,PARTIAL_RES_CUM_POS,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_D43TW005572_075,2021-08-07,-248330.0,248330.0,PARTIAL_RES_CUM_POS,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_D43TW005572_075,2021-08-07,-1600.0,1600.0,PARTIAL_RES_CUM_POS,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_D43TW005572_075,2021-11-06,-29.98,29.98,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,THE GENERAL HOSPITAL CORPORATION,BOSTON,MA,,0
ASST_NON_D43TW007886_075,2021-08-07,-14.88,14.88,CANCELLATION,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D43TW009093_075,2021-03-09,-247964.55,247964.55,RESCISSION,B,CONTINUATION,C,CORRECT AN EXISTING RECORD,BOSTON MEDICAL CENTER CORPORATION,BOSTON,MA,BOSTON,0
ASST_NON_D43TW009610_075,2022-10-01,-62623.81,62623.81,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW009610_075,2023-04-21,-50000.0,50000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW009610_075,2024-03-14,-233966.62,233966.62,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D43TW009610_075,2024-08-27,-100000.0,100000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D43TW009610_075,2024-09-23,-100000.0,100000.0,PARTIAL_RES_CUM_POS,C,REVISION,,,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D43TW009775_075,2022-04-11,-50000.0,50000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW009775_075,2022-04-29,-25000.0,25000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW009775_075,2022-11-09,-238.38,238.38,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW010543_075,2022-04-13,-100000.0,100000.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW010543_075,2022-05-18,-66935.0,66935.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW010543_075,2022-06-10,-58065.0,58065.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW010543_075,2023-05-15,-310000.45,310000.45,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW010543_075,2023-05-15,-279964.0,279964.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,BOSTON,MA,,0
ASST_NON_D43TW011293_075,2025-09-11,-50000.0,50000.0,ADMIN_OR_PREPAY_ADJ,C,REVISION,,,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,,1
ASST_NON_D8520035_075,2022-05-16,-0.3,0.3,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,TRUSTEES OF TUFTS COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D8530829_075,2023-05-30,-292792.0,292792.0,PARTIAL_RES_CUM_POS,C,REVISION,C,CORRECT AN EXISTING RECORD,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_D8530829_075,2023-05-31,-1306.63,1306.63,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_D8530829_075,2023-06-23,-16310.19,16310.19,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_D8732137_075,2025-01-17,-28665.0,28665.0,PARTIAL_RES_CUM_POS,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,"HOLYOKE HEALTH CENTER, INC",HOLYOKE,MA,HOLYOKE,0
ASST_NON_D8820114_075,2022-04-04,-8059.81,8059.81,CANCELLATION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,TRUSTEES OF TUFTS COLLEGE,BOSTON,MA,BOSTON,0
ASST_NON_D8828505_075,2020-12-29,-152359.94,152359.94,PARTIAL_RES_CUM_POS,C,REVISION,,,TRUSTEES OF BOSTON UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_DE5000216_088,2021-09-30,-7233.99,7233.99,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,C,CORRECT AN EXISTING RECORD,ASSOCIATION FOR DOCUMENTARY EDITING,BOSTON,MA,BOSTON,0
ASST_NON_DEAR0000487_089,2023-09-08,-6308.44,6308.44,RESCISSION,C,REVISION,,,AMERICAN SUPERCONDUCTOR CORP,DEVENS,MA,AYER,0
ASST_NON_DEAR0000632_089,2022-08-23,-45938.54,45938.54,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_DEAR0000673_089,2021-09-07,-0.03,0.03,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,NEWTON ENERGY GROUP LLC,BOSTON,MA,BOSTON,0
ASST_NON_DEAR0000704_089,2021-09-07,-271085.11,271085.11,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,DNV ENERGY INSIGHTS USA INC.,BURLINGTON,MA,BURLINGTON,0
ASST_NON_DEAR0000780_089,2023-09-08,-1104087.3,1104087.3,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"IONIC MATERIALS, INC.",WOBURN,MA,WOBURN HIGHLANDS,0
ASST_NON_DEAR0000847_089,2023-06-20,-282.61,282.61,RESCISSION,C,REVISION,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CAMBRIDGE,MA,CAMBRIDGE,0
ASST_NON_DEAR0000902_089,2023-11-01,-1026.97,1026.97,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,NORTHEASTERN UNIVERSITY,BOSTON,MA,BOSTON,0
ASST_NON_DEAR0000910_089,2023-09-15,-285518.22,285518.22,RESCISSION,C,REVISION,,,C.A. GOUDEY & ASSOCIATES,NEWBURYPORT,MA,NEWBURYPORT,0
ASST_NON_DEAR0000921_089,2024-07-23,-41.42,41.42,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,WOODS HOLE OCEANOGRAPHIC INSTITUTION,WOODS HOLE,MA,WOODS HOLE,0
ASST_NON_DEAR0000932_089,2023-08-31,-719.53,719.53,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,ENDEVEO INC.,BOSTON,MA,BOSTON,0
ASST_NON_DEAR0000995_089,2021-09-01,-836165.0,836165.0,RESCISSION,C,REVISION,,,"FORM ENERGY, INC.",SOMERVILLE,MA,SOMERVILLE,0
ASST_NON_DEAR0000995_089,2025-06-04,-288232.06,288232.06,RESCISSION,D,ADJUSTMENT TO COMPLETED PROJECT,,,"FORM ENERGY, INC.",SOMERVILLE,MA,SOMERVILLE,1
ASST_NON_DEAR0001033_089,2023-09-06,-260296.7,260296.7,RESCISSION,C,REVISION,,,"IONIC MATERIALS, INC.",WOBURN,MA,WOBURN HIGHLANDS,0
ASST_NON_DEAR0001043_089,2024-08-02,-0.01,0.01,RESCISSION,C,REVISION,,,VIA SEPARATIONS INC,WATERTOWN,MA,CAMBRIDGE,0
